Mã Test Case,Module,Kịch Bản Test,Các Bước Thực Hiện,Kết Quả Mong Đợi,Trạng Thái,Ghi Chú
TC_AUTH_01,Xác thực,Đăng ký với thông tin hợp lệ,"1. Vào /register. 2. Nhập thông tin hợp lệ. 3. Nhấn Đăng ký",Đăng ký thành công và chuyển về trang đăng nhập,Pass,RegisterForm.tsx gọi API đăng ký rồi redirect về /login
TC_AUTH_02,Xác thực,Đăng ký thất bại khi email đã tồn tại,"1. Vào /register. 2. Nhập email đã tồn tại. 3. Nhấn Đăng ký",Hiển thị thông báo lỗi email đã tồn tại,Pass,RegisterForm.tsx catch lỗi và hiển thị banner đỏ
TC_AUTH_03,Xác thực,Đăng nhập với tài khoản hợp lệ,"1. Vào /login. 2. Nhập email/mật khẩu đúng. 3. Nhấn Log in",Đăng nhập thành công và chuyển về trang chủ,Pass,LoginForm.tsx gọi loginUser() rồi router.replace(ROUTES.home)
TC_AUTH_04,Xác thực,Đăng nhập thất bại khi sai mật khẩu,"1. Vào /login. 2. Nhập email đúng và sai mật khẩu. 3. Nhấn Log in",Hiển thị thông báo lỗi sai mật khẩu,Pass,LoginForm.tsx dòng 130-132 catch lỗi hiển thị banner đỏ
TC_AUTH_05,Xác thực,Yêu cầu đặt lại mật khẩu,"1. Vào /forgot-password. 2. Nhập email. 3. Nhấn Send reset link",Gửi link đặt lại mật khẩu và hiển thị thông báo thành công,Pass,ForgotPasswordForm.tsx hiển thị successMessage màu xanh lá
TC_AUTH_06,Xác thực,Đặt lại mật khẩu mới,"1. Mở link reset. 2. Vào /reset-password. 3. Nhập mật khẩu mới. 4. Xác nhận",Mật khẩu được cập nhật thành công,Pass,ResetPasswordForm.tsx đã triển khai đầy đủ
TC_AUTH_07,Xác thực,Chuyển hướng về login khi chưa đăng nhập,"1. Mở trình duyệt mới. 2. Vào /inbox hoặc /home",Tự động chuyển hướng về /login,Pass,ProtectedPage.tsx kiểm tra token và redirect về ROUTES.login nếu không có
TC_HOME_01,Trang chủ,Trang chủ tải thành công sau đăng nhập,"1. Đăng nhập. 2. Vào http://localhost:3000",Trang chủ hiển thị feed bài viết,Pass,HomeFeed.tsx (406 dòng) render đầy đủ feed và layout 3 cột
TC_HOME_02,Trang chủ,Feed tải thêm khi cuộn xuống,"1. Đăng nhập. 2. Vào trang chủ. 3. Cuộn xuống cuối",Tải thêm bài viết tự động,Fail - Thiếu chức năng,HomeFeed.tsx dòng 194 gọi fetchPosts(1 20) cố định - không có infinite scroll hoặc phân trang
TC_POST_01,Bài viết,Tạo bài viết văn bản thuần,"1. Trang chủ. 2. Nhấn ô soạn bài. 3. Nhập nội dung. 4. Nhấn Đăng bài",Bài viết được đăng và hiển thị trên feed,Pass,ComposerCard.tsx handlePost() gọi createPost() rồi onPostCreated?() để reload feed
TC_POST_02,Bài viết,Tạo bài viết có đính kèm hình ảnh,"1. Mở composer. 2. Nhấn Ảnh / Video. 3. Chọn file ảnh. 4. Nhập caption. 5. Đăng bài",Bài viết kèm ảnh được đăng thành công,Pass,ComposerCard.tsx dòng 103-118 handleFileChange() xử lý ảnh; dòng 127 compressToWebP rồi uploadPostMedia()
TC_POST_03,Bài viết,Tạo bài viết có đính kèm video,"1. Mở composer. 2. Nhấn Ảnh / Video. 3. Chọn file video. 4. Đăng bài",Bài viết kèm video được đăng thành công,Pass,ComposerCard.tsx dòng 130-133 xử lý video trực tiếp qua uploadPostMedia()
TC_POST_04,Bài viết,Đặt cảm xúc cho bài viết,"1. Mở composer. 2. Nhấn ... -> Cảm xúc. 3. Chọn cảm xúc. 4. Đăng",Bài viết hiển thị cảm xúc đã chọn,Pass,ComposerCard.tsx dòng 11-20 FEELINGS + feeling state truyền vào createPost()
